GN_ID,Gene_Name,log2FC(insoluble/soluble protein ratio), -LOG10(P-VALUE),Protein_ID
Ifggb5_tr|Q62293|Q62293_MOUSE,Ifggb5,-0.891266948188474,1.36793191695921,Q62293
Igkv8-28_tr|A0A075B5N3|A0A075B5N3_MOUSE,Igkv8-28,-0.892125643221386,1.42113960777365,A0A075B5N3
Igkv8-19_tr|A0A087WNJ9|A0A087WNJ9_MOUSE,Igkv8-19,-0.892125643221389,1.42113960777365,A0A087WNJ9
Vcp_sp|Q01853|TERA_MOUSE,Vcp,-0.901642378925346,2.14079143812114,Q01853
Tmem194_tr|E9Q6Z3|E9Q6Z3_MOUSE,Tmem194,-0.908183731540442,1.7996473171183,E9Q6Z3
Prpsap1_sp|Q9D0M1|KPRA_MOUSE,Prpsap1,-0.916985750994138,5.25967372196081,Q9D0M1
Bcap29_sp|Q61334|BAP29_MOUSE,Bcap29,-0.949208341306579,1.55930683113327,Q61334
Sh3bp1_tr|A2A5V2|A2A5V2_MOUSE,Sh3bp1,-0.950855963885608,1.32165529081801,A2A5V2
Ppfia4_tr|B8QI36|B8QI36_MOUSE,Ppfia4,-0.954995291274804,1.4134655752566,B8QI36
Cds2_sp|Q99L43|CDS2_MOUSE,Cds2,-0.994065502946427,1.76564280352277,Q99L43
Pds5a_sp|Q6A026|PDS5A_MOUSE,Pds5a,-0.994332565383249,2.38343144071677,Q6A026
Minpp1_sp|Q9Z2L6|MINP1_MOUSE,Minpp1,-1.01698865461708,2.77467603647424,Q9Z2L6
Mcc_tr|E9PWI3|E9PWI3_MOUSE,Mcc,-1.02883544137415,1.72515989035006,E9PWI3
Ralbp1_sp|Q62172|RBP1_MOUSE,Ralbp1,-1.04476277766537,1.42699563578304,Q62172
Ighv1-62-2_tr|A0A075B680|A0A075B680_MOUSE,Ighv1-62-2,-1.05196774343962,1.50610447386833,A0A075B680
Igj_sp|P01592|IGJ_MOUSE,Igj,-1.05319235963166,2.23092638609119,P01592
Camk2a_sp|P11798|KCC2A_MOUSE,Camk2a,-1.06970539210468,2.22209978768497,P11798
Ppfia4_tr|B8QI36|B8QI36_MOUSE,Ppfia4,-1.08072713268219,1.72647819235982,B8QI36
Prpsap2_sp|Q8R574|KPRB_MOUSE,Prpsap2,-1.10787968827659,3.96276661195102,Q8R574
Kdelr1_sp|Q99JH8|ERD21_MOUSE,Kdelr1,-1.11334440526122,1.3022406660788,Q99JH8
Apcs_sp|P12246|SAMP_MOUSE,Apcs,-1.14314537576067,1.43657428526016,P12246
